sector,sec_x,sec_y
0,1,127
1,0,127
2,1,126
3,0,126
4,1,125
5,0,125
6,1,124
7,0,124
8,1,123
9,0,123
10,1,122
11,0,122
12,1,121
13,0,121
14,1,120
15,0,120
16,1,119
17,0,119
18,1,118
19,0,118
20,1,117
21,0,117
22,1,116
23,0,116
24,1,115
25,0,115
26,1,114
27,0,114
28,1,113
29,0,113
30,1,112
31,0,112
32,1,111
33,0,111
34,1,110
35,0,110
36,1,109
37,0,109
38,1,108
39,0,108
40,1,107
41,0,107
42,1,106
43,0,106
44,1,105
45,0,105
46,1,104
47,0,104
48,1,103
49,0,103
50,1,102
51,0,102
52,1,101
53,0,101
54,1,100
55,0,100
56,1,99
57,0,99
58,1,98
59,0,98
60,1,97
61,0,97
62,1,96
63,0,96
64,1,95
65,0,95
66,1,94
67,0,94
68,1,93
69,0,93
70,1,92
71,0,92
72,1,91
73,0,91
74,1,90
75,0,90
76,1,89
77,0,89
78,1,88
79,0,88
80,1,87
81,0,87
82,1,86
83,0,86
84,1,85
85,0,85
86,1,84
87,0,84
88,1,83
89,0,83
90,1,82
91,0,82
92,1,81
93,0,81
94,1,80
95,0,80
96,1,79
97,0,79
98,1,78
99,0,78
100,1,77
101,0,77
102,1,76
103,0,76
104,1,75
105,0,75
106,1,74
107,0,74
108,1,73
109,0,73
110,1,72
111,0,72
112,1,71
113,0,71
114,1,70
115,0,70
116,1,69
117,0,69
118,1,68
119,0,68
120,1,67
121,0,67
122,1,66
123,0,66
124,1,65
125,0,65
126,1,64
127,0,64
128,2,127
129,3,127
130,2,126
131,3,126
132,2,125
133,3,125
134,2,124
135,3,124
136,2,123
137,3,123
138,2,122
139,3,122
140,2,121
141,3,121
142,2,120
143,3,120
144,2,119
145,3,119
146,2,118
147,3,118
148,2,117
149,3,117
150,2,116
151,3,116
152,2,115
153,3,115
154,2,114
155,3,114
156,2,113
157,3,113
158,2,112
159,3,112
160,2,111
161,3,111
162,2,110
163,3,110
164,2,109
165,3,109
166,2,108
167,3,108
168,2,107
169,3,107
170,2,106
171,3,106
172,2,105
173,3,105
174,2,104
175,3,104
176,2,103
177,3,103
178,2,102
179,3,102
180,2,101
181,3,101
182,2,100
183,3,100
184,2,99
185,3,99
186,2,98
187,3,98
188,2,97
189,3,97
190,2,96
191,3,96
192,2,95
193,3,95
194,2,94
195,3,94
196,2,93
197,3,93
198,2,92
199,3,92
200,2,91
201,3,91
202,2,90
203,3,90
204,2,89
205,3,89
206,2,88
207,3,88
208,2,87
209,3,87
210,2,86
211,3,86
212,2,85
213,3,85
214,2,84
215,3,84
216,2,83
217,3,83
218,2,82
219,3,82
220,2,81
221,3,81
222,2,80
223,3,80
224,2,79
225,3,79
226,2,78
227,3,78
228,2,77
229,3,77
230,2,76
231,3,76
232,2,75
233,3,75
234,2,74
235,3,74
236,2,73
237,3,73
238,2,72
239,3,72
240,2,71
241,3,71
242,2,70
243,3,70
244,2,69
245,3,69
246,2,68
247,3,68
248,2,67
249,3,67
250,2,66
251,3,66
252,2,65
253,3,65
254,2,64
255,3,64
256,5,127
257,4,127
258,5,126
259,4,126
260,5,125
261,4,125
262,5,124
263,4,124
264,5,123
265,4,123
266,5,122
267,4,122
268,5,121
269,4,121
270,5,120
271,4,120
272,5,119
273,4,119
274,5,118
275,4,118
276,5,117
277,4,117
278,5,116
279,4,116
280,5,115
281,4,115
282,5,114
283,4,114
284,5,113
285,4,113
286,5,112
287,4,112
288,5,111
289,4,111
290,5,110
291,4,110
292,5,109
293,4,109
294,5,108
295,4,108
296,5,107
297,4,107
298,5,106
299,4,106
300,5,105
301,4,105
302,5,104
303,4,104
304,5,103
305,4,103
306,5,102
307,4,102
308,5,101
309,4,101
310,5,100
311,4,100
312,5,99
313,4,99
314,5,98
315,4,98
316,5,97
317,4,97
318,5,96
319,4,96
320,5,95
321,4,95
322,5,94
323,4,94
324,5,93
325,4,93
326,5,92
327,4,92
328,5,91
329,4,91
330,5,90
331,4,90
332,5,89
333,4,89
334,5,88
335,4,88
336,5,87
337,4,87
338,5,86
339,4,86
340,5,85
341,4,85
342,5,84
343,4,84
344,5,83
345,4,83
346,5,82
347,4,82
348,5,81
349,4,81
350,5,80
351,4,80
352,5,79
353,4,79
354,5,78
355,4,78
356,5,77
357,4,77
358,5,76
359,4,76
360,5,75
361,4,75
362,5,74
363,4,74
364,5,73
365,4,73
366,5,72
367,4,72
368,5,71
369,4,71
370,5,70
371,4,70
372,5,69
373,4,69
374,5,68
375,4,68
376,5,67
377,4,67
378,5,66
379,4,66
380,5,65
381,4,65
382,5,64
383,4,64
384,6,127
385,7,127
386,6,126
387,7,126
388,6,125
389,7,125
390,6,124
391,7,124
392,6,123
393,7,123
394,6,122
395,7,122
396,6,121
397,7,121
398,6,120
399,7,120
400,6,119
401,7,119
402,6,118
403,7,118
404,6,117
405,7,117
406,6,116
407,7,116
408,6,115
409,7,115
410,6,114
411,7,114
412,6,113
413,7,113
414,6,112
415,7,112
416,6,111
417,7,111
418,6,110
419,7,110
420,6,109
421,7,109
422,6,108
423,7,108
424,6,107
425,7,107
426,6,106
427,7,106
428,6,105
429,7,105
430,6,104
431,7,104
432,6,103
433,7,103
434,6,102
435,7,102
436,6,101
437,7,101
438,6,100
439,7,100
440,6,99
441,7,99
442,6,98
443,7,98
444,6,97
445,7,97
446,6,96
447,7,96
448,6,95
449,7,95
450,6,94
451,7,94
452,6,93
453,7,93
454,6,92
455,7,92
456,6,91
457,7,91
458,6,90
459,7,90
460,6,89
461,7,89
462,6,88
463,7,88
464,6,87
465,7,87
466,6,86
467,7,86
468,6,85
469,7,85
470,6,84
471,7,84
472,6,83
473,7,83
474,6,82
475,7,82
476,6,81
477,7,81
478,6,80
479,7,80
480,6,79
481,7,79
482,6,78
483,7,78
484,6,77
485,7,77
486,6,76
487,7,76
488,6,75
489,7,75
490,6,74
491,7,74
492,6,73
493,7,73
494,6,72
495,7,72
496,6,71
497,7,71
498,6,70
499,7,70
500,6,69
501,7,69
502,6,68
503,7,68
504,6,67
505,7,67
506,6,66
507,7,66
508,6,65
509,7,65
510,6,64
511,7,64
512,9,127
513,8,127
514,9,126
515,8,126
516,9,125
517,8,125
518,9,124
519,8,124
520,9,123
521,8,123
522,9,122
523,8,122
524,9,121
525,8,121
526,9,120
527,8,120
528,9,119
529,8,119
530,9,118
531,8,118
532,9,117
533,8,117
534,9,116
535,8,116
536,9,115
537,8,115
538,9,114
539,8,114
540,9,113
541,8,113
542,9,112
543,8,112
544,9,111
545,8,111
546,9,110
547,8,110
548,9,109
549,8,109
550,9,108
551,8,108
552,9,107
553,8,107
554,9,106
555,8,106
556,9,105
557,8,105
558,9,104
559,8,104
560,9,103
561,8,103
562,9,102
563,8,102
564,9,101
565,8,101
566,9,100
567,8,100
568,9,99
569,8,99
570,9,98
571,8,98
572,9,97
573,8,97
574,9,96
